Date,User,Tweet
2022-10-27 01:00:05+00:00,gqokeke,"This is a new dawn. It's the OBIdient revolution. Atiku accepted the nomination in 2019 with the understanding that the presidency will rotate to the SE in 2023 - he did not honor that agreement. He went on to appoint his PCC in Benue/Rivers without consulting their Govs, uncool. https://t.co/VqYiqlW6j5"
2022-10-27 00:59:37+00:00,Nkwobi_Freshnez,"Not able to sleep due to hand pains. Honestly, Nigeria has scarred me seriously. I can't seem to stop remembering it all. 

Is this really a country, cos I just don't get it💔💔💔💔"
2022-10-27 00:59:25+00:00,IFESEDouglas,"@melaninmaris @atiku So these are the IDPs ge went to see in Bayelsa? 😂😂😂😂😂😂

We are very very Obidient already"
2022-10-27 00:58:12+00:00,the_Izuchukwu,@MrMekzy_ Osikapa💀
2022-10-27 00:57:35+00:00,the_Izuchukwu,@dragonfaya @MrMekzy_ @mister_ade Ichafu is not Igbo origin???
2022-10-27 00:55:52+00:00,Nnamdi92983868,@AngelPhilo @PeterObi Loud and clear 👌
2022-10-27 00:55:31+00:00,kimpresh9,BOYS NEED TO BE PROTECTED!!!! 😩.
2022-10-27 00:55:29+00:00,Nnamdi92983868,@IruefiNG Them no get shame simeone just dey jump up and down with no obru
2022-10-27 00:55:28+00:00,kimpresh9,"a waste if time. Anyone he told would ask him ""you no enjoy am?"". I felt really bad 😞😤. I felt his pain. I wish i could really help him. In his words ""no be say i no enjoy am o, but wetin she do no good and till now she never still apologise"" 💔💔."
2022-10-27 00:55:26+00:00,kimpresh9,"A friend once told me about how a lady molested him when he Was 7 and she's married now with kids. He went on to say this lady still greets him now like nothing happened years ago. I asked, if he told anyone or would like to tell someone or authorities now. He said it was 1/3 https://t.co/OtYjCFAy2w"
2022-10-27 00:54:36+00:00,Dr__Ege,@TheTamosaEffect I no get TV 🚶🏽🚶🏽‍♂️
2022-10-27 00:53:51+00:00,giftcard_buyer,@instablog9ja Money 💰 🤷‍♂️
2022-10-27 00:53:41+00:00,Nnamdi92983868,@General_Oluchi But sometimes I think this na movie or skit because I can't even understand hw a full grown man go dey mumu like this
2022-10-27 00:52:08+00:00,Nnamdi92983868,@General_Oluchi Lekwe num nsogbu o ogini na efio ebanunwe
2022-10-27 00:50:29+00:00,DeeCee8_8,@Chibueze_Nwaka @olaleka90274917 @channelstv He is Obidient?
2022-10-27 00:50:07+00:00,swetgee4all2,U see research ? https://t.co/JP7BvOUSZs
2022-10-27 00:48:23+00:00,anointedbayo,"@yabaleftonline Cup 3 would have been the first but because of the deliberate shotover angle line at the edge....Cup 2 is d FIRST and ONLY to be filled. 
' An Obidient Epignosis ' https://t.co/Sj1DoiqnPT"
