Date,User,Number of likes,Tweeted from,Tweets
2022-10-31 12:02:53+00:00,PaulPWRFitness,0,Twitter Web App,"@RishiSunak @LulaOficial Sort your own mess, much of it your own party's doing, before heading off to mess up the rest of the world, Rishi."
2022-10-31 12:02:53+00:00,TeddyBba,0,Twitter Web App,@Joker_h6k @Aynaa_0 @alexriley121212 @ytRiteshJha Kyu galat hai bade bade rishi Maharishi avtar tak nyog se utpan hue hai.. https://t.co/kobSpYwZJn
2022-10-31 12:02:45+00:00,NatProducts,0,Twitter Web App,Sunak defends decision to skip COP27 @RishiSunak @COP27P #KingCharles #climatecrisis #emissions #environment #zerocarbon https://t.co/Fzmeu9ah7g
2022-10-31 12:02:44+00:00,Twink552430911,0,Twitter for iPhone,"@Shinobiisback @RishiSunak @PoppyLegion If it’s got diphtheria and scabies perhaps it was brought in with them, and if it’s that bad perhaps they should’ve stayed on the other side of the channel 👋👋👋👋"
2022-10-31 12:02:44+00:00,akshaygoyalabvp,0,Twitter for Android,@RishiSunak @PoppyLegion बहुत बहुत बधाई
2022-10-31 12:02:43+00:00,nicholas_quish,0,Twitter for Android,"This sustained assault on Suella Braverman led I believe by Angela Rayner and cohorts??
Remind you of anything?
Yes the LABOUR SLEEZE team on Boris Johnson. 
Rishi Sunak has now moved ahead of Starmer in the polls so-
Back to LABOUR SLEEZE digging!
NOT WORKING.
NEVER LABOUR. https://t.co/ev1bI0hoin"
2022-10-31 12:02:34+00:00,King4ADay_UK,0,Twitter for Android,@burrozion @Bennyjj81 @RishiSunak @PoppyLegion These Tories have given themselves many handouts throughout various crises they have caused. They are theives.
2022-10-31 12:02:34+00:00,thefirstmrsmac,0,Twitter for iPhone,@AlStewartOBE @RishiSunak We all know it’s just a big sales conference. People are making millions out of this industry. Always follow the money
2022-10-31 12:02:33+00:00,martindempseyyy,0,Twitter for Android,"It's pretty astonishing that Suella Braverman has multiple choice options for why she should resign for the second time in two weeks. 

It's even more astonishing that Rishi Sunak was so weak as a new PM that he reappointed her to placate the hard right of his Party"
2022-10-31 12:02:30+00:00,RobinWhitlock66,0,Twitter Web App,@SailFreeUK @RestoreTrustNT @thetimes @JamesSBeal @nationaltrust @michelledonelan @DCMS @RishiSunak He is also involved with the right wing think tank Institute of Economic Affairs (IEA): https://t.co/nQRDgkhtjM
2022-10-31 12:02:26+00:00,MediaWorld88,0,IFTTT,"The UK's new Prime Minister Rishi Sunak hires Amber de Botton, the head of UK news at ITV News, as his director of communications https://t.co/OpnXVjpb8Z"
2022-10-31 12:02:26+00:00,rss222,0,Twitter for Android,@RishiSunak @LulaOficial If only you weren't such a dictator and called a general election like the public actually want so we too could get rid of our appalling corrupt right wing party that's in charge
2022-10-31 12:02:20+00:00,end_the_lies,0,Twitter for Android,"@snb19692 Yes, and it's probably just a coincidence that while she makes hateful speeches and pursues hateful policies towards asylum seekers this happens isn't it @RishiSunak and @AlexChalkChelt 

https://t.co/8bbJDqzERB"
2022-10-31 12:02:19+00:00,bracks1968,0,Twitter for Android,"@abdulrahim7i2 @RishiSunak @PoppyLegion He tried to worm his way back in last week,  but was chased again by his own party AGAIN"
