Date,User,Number of likes,Tweeted from,Tweets
2022-10-30 17:43:00+00:00,guyhoogewerf,0,Buffer,"Watch this space, at some point, people are going to realise that #liztruss was right about how to fix the #ukeconomy - the key is growth, we cannot endlessly tax people and cut spending."
2022-10-30 17:39:19+00:00,allegro1950,0,Twitter for iPad,"@MarinaPurkiss Until Labour Party explains Brexit is the fundamental reason why UK economy is in a hole and still digging, and that a viable working relationship with EU is THE #1 priority in improving just about everything they don’t deserve to govern, because they cannot succeed either!"
2022-10-30 17:38:56+00:00,Leucifer,1,Twitter for iPhone,@elizabeth_rydan @SenJohnKennedy *GOP watches Liz Truss crush UK economy with Reaganomics* https://t.co/pBuN3wkVwp
2022-10-30 17:38:49+00:00,Idontmind64,0,Twitter for Android,"@Endoxa66 @BillyVacant With an aging population and birthrate falling off a cliff (folk just cannot afford to have kids thanks to current gov't policies!) we need immigration for the UK economy to survive!
Please explain what these tragic costs that you speak of are....?"
2022-10-30 17:38:17+00:00,martin_farley,1,Twitter for iPhone,"Because people think the govt has resolved the problem of high energy prices, there is very little understanding of this fact 

The UK economy is £140bn down due to global energy shortages/prices and we have no plan to deal with it afaik https://t.co/AHRDWFGaNj"
2022-10-30 17:36:38+00:00,mafevema,0,Twitter for Android,As shown below it doesn't mean the UK economy is performing well overall. Its recovery has underperformed other comparable economies which also went through Covid &amp; now the energy crisis ...but not through Brexit. https://t.co/VLmvJXiGfB
2022-10-30 17:25:48+00:00,ChorleyCake,0,Twitter for Android,@Sime0nStylites @McCordials I'm sure the German Finance Minister will look benevolently on the UK economy.
2022-10-30 17:20:47+00:00,VladNuwanda,0,Twitter for iPhone,Seems the UK is finally ready to deal with reality. #BrexitBrokeBritain Ros Atkins on... Brexit and the UK economy - BBC News https://t.co/bxpwAVIhK7
2022-10-30 17:20:34+00:00,thxmqb78nk,0,Twitter for iPhone,"@Chirleeee @SkyNews Nope but the system is wrong, it should support working parents more that are contributing tax and labour to the UK economy."
2022-10-30 17:19:05+00:00,geoffh33,0,Twitter for iPhone,"Henry Bolton has difficulty understanding what causes ‘political instability’

• Truss phone hacked
• Suella Braverman security risk
• Qatar gifts to MPs
• EU laws binned
• Austerity 2.0 
• Therese Coffey scandal
• UK Economy shredded by Truss

#ToriesDestroyingOurCountry https://t.co/6wsVlTYfgL"
2022-10-30 17:17:19+00:00,1amcc,0,Twitter for Android,"@andrew_lilico Leavers, who despite the obvious pain to the UK economy all stated, ""I don't care about damaging the UK economy, it was all about controlling our borders""!

How is border control going?"
2022-10-30 17:11:30+00:00,AllFilesNews1,0,All Files & News,"UK economy grows more than expected in May, helped by autos rebound https://t.co/0h4DvKp8y0"
2022-10-30 17:11:18+00:00,omtathsath,0,Twitter for iPhone,"#BritishHindus contribution to the UK economy is enormous. Only 329 Hindus are in jails. Rest all r hard working &amp; r paying taxes. Hindus’ve no history of religious attacks. The attack on #LeicesterHindus is done by #Radical #Islamists 

#HinduphobicBBC #HindusUnderAttackInUK https://t.co/M6sVIyzowy"
2022-10-30 17:08:53+00:00,ltezz123,0,Twitter for iPhone,"@CCHQPress @nadhimzahawi When Labour left office in 2010, our economy was growing…the UK economy is projected to retract by 1%…"
2022-10-30 17:08:13+00:00,briamjam,0,Twitter for Android,@johnestevens And she gets 115k for 7 weeks work and screwing up the uk economy what a disgrace to humanity
2022-10-30 17:03:27+00:00,iShujaAhmedCh,0,Microsoft Power Platform,"The UK economy is waking up from the short Liz Truss era with a major hangover 
https://t.co/g0LPK058FT"
2022-10-30 16:59:51+00:00,Mehdi80750168,0,Twitter for iPhone,It’s the EU/UK economy’s that are in big trouble not Russia.🔯✝️☪️ https://t.co/vl8SdnC4zY
2022-10-30 16:55:50+00:00,Londonscot3,40,Twitter for iPhone,"@EmilyThornberry Thanks Emily 👍Also I do hope there is an investigation to find out if Truss, Kwarteng and other ERG Tories made any financial gains post Kwarteng’s meeting with hedge fund managers hrs after the so called ‘Mini-Budget’ that led to our UK economy being trashed"
2022-10-30 16:52:34+00:00,KinakoBanterFem,0,Twitter Web App,"USA MFers laughing at the uk economy even tho the pound is still worth more than the dollar

currently £1 = $1.16 however in the year 2000 it was £1 = $1.52 ;("
2022-10-30 16:48:43+00:00,D_Blanchflower,1,Twitter Web App,@PhilipCreegan @iealondon @AndrewPurvis @AndrewPurkis they have all gotta go - especially now @iealondon who crashed the UK economy
2022-10-30 16:48:26+00:00,AndrewS90812090,0,Twitter for Android,"Is it less than 50p, that's all she's worth for crashing the UK economy https://t.co/KcZwIimg1U"
2022-10-30 16:47:19+00:00,LeopoldStotch11,0,Twitter for Android,"Failing miserably to understand John Swinney's dig about the UK economy to a Scottish Labour MSP  who was asking why SNP demands fiscal forecasts from Westminster, but refuses to provide the same for their Independance propaganda papers. https://t.co/trRvkpgqGc"
2022-10-30 16:45:21+00:00,MaxWarnerQ,0,Twitter Web App,"@hinto1892 @JamieBrysonCPNI Mate look at the news, look at the uk economy, do you think the tories will walk away from the TCA in order to stop a few checks in Larne? You do not have a clue about what you are talking about"
2022-10-30 16:45:03+00:00,business,32,SocialFlow,"The UK economy is waking up from the short Liz Truss era with a major hangover 
https://t.co/2JIgCIC9vT"
2022-10-30 16:42:33+00:00,jamesfmilne,0,Twitter Web App,"I suspect this Libertarian takeover of Twitter is going to go as well as Truss's Libertarian takeover of the UK economy: that is to say, badly."
2022-10-30 16:41:32+00:00,daveunder,1,Twitter for iPhone,@Ed_Miliband Why all this crying over our PM not going to COP? How many times did Blair or Brown go? Sorting out the UK economy is far more important than the planet naturally warming up a bit.
2022-10-30 16:36:01+00:00,PSoffe1,0,Twitter for iPhone,"@afneil Before Brexit UK economy 90% the size of Germany’s, it is now 70%! This was before the mini. Why do Brexiteers have to keep lying about the impact of Brexit. I know you are a client journalist but do you not have any morals?"
2022-10-30 16:35:22+00:00,WarmanBill,1,Twitter for Android,"@SkyNews Plus none of these will contribute to the UK economy, as they have NO   previous trade or work experience in there own country. We have to stop taking people in from other countries that have stricter rules than our nanny state UK like next years Dubai."
2022-10-30 16:33:47+00:00,ASElliotKing,2,Twitter for Android,"Oh, no no no... staggering ignorance of European current affairs is plotting to extricate the UK from the EU, believing that such a reckless act wouldn't do colossal damage to the UK economy or create chaos for UK citizens in the EU. 

And then doing so with no plan at all... 🙄 https://t.co/ZnyefjIEpZ"
2022-10-30 16:31:04+00:00,PhilGiddingz,0,Twitter Web App,"@GiftCee It's tragic how low the Tories have sunk from the vision and compassion of Ted Heath. Thanks to him the Ugandan Asians added £trillions to the UK economy.

But it's never racist to call out hypocrites for walking through a door of opportunity and then locking it behind them."
2022-10-30 16:30:35+00:00,againstjohnson,5,Twitter for iPhone,@CCHQPress @nadhimzahawi Desperate stuff from the party that has spent 12 years systematically trashing UK economy now with no idea how to fix it.
2022-10-30 16:26:03+00:00,StewartCadman,0,Twitter for iPhone,@BrugesGroup Nice try. The right question is: how would the UK economy have fared with Brexit? Better is the answer. Better.
2022-10-30 16:25:44+00:00,drphil1969,1,Twitter for Android,"A few years? 6 years! 4% crash of the UK economy, no trade deals worth anything to the UK.and Northern Ireland on the verge of armed conflict again. https://t.co/LXIhZyKtzv"
2022-10-30 16:23:24+00:00,KascienChan,0,Twitter for Android,"@AliXamaniK @BBCRosAtkins @BBCiPlayer This one give a full view of UK economy, must read there is data.
https://t.co/Fkmg1SjwP6"
2022-10-30 16:20:26+00:00,RadioPonca,0,Twitter for Android,"BBC News - Ros Atkins on... Brexit and the UK economy
https://t.co/vVFAGyA8Rh"
2022-10-30 16:15:58+00:00,NVJRobins1,2,Twitter Web App,"This @FT film is a shocking indictment of the devastating impact of Brexit on the UK economy. We knew this was going to happen; the results are in many ways far, far worse. Time to end the Brexit burden  The Brexit effect: how leaving the EU hit the UK https://t.co/BVLQ8ACtIp"
2022-10-30 16:11:49+00:00,paulgarnault,0,Twitter for iPhone,"@mrjamesob @paulmasonnews ‘Hi Vlad, trashed the UK economy for you! Brexollocks is a disaster! you can invade next year and make me Queen.’ Toryiski Liz https://t.co/jGCS4gc4XG"
2022-10-30 16:11:21+00:00,DcR70604517,1,Twitter for Android,"@ColinWelsh3 @GBNEWS Oh yes we will accept Brexit 

When it delivers what was promised 

Just prove us wrong by growing the UK economy &amp; with better living standards and then there won't be any arguments

We hear about Brexit Opportunities but nobody will say what they are or where they can be found"
2022-10-30 16:11:03+00:00,AleksandarGodic,0,Twitter Web App,"@DavidPoulden The UK economy is worse compared to others, it is because of Brexit and pathetic Brexiteers still can't prove not even one benefit."
2022-10-30 16:10:00+00:00,RichieKennett,2,Twitter Web App,"@CarolineLucas The United Kingdom must take responsibility to be part of @COP27. We should be leaders in not only carbon reduction but clean air and low-cost renewable energy.
@RishiSunak and King Charles III should be there!
The UK economy needs our government pioneers in this!"
2022-10-30 16:03:51+00:00,FreitagWolf,0,Twitter Web App,"#Brexit cult benefits lies.

UK economy in 2016 🇬🇧 £2.10 trn or 94% of Germany's £2.2 trn.

Now 2022 UK is £2.17 trn (~same as 2016!) or 70% of 🇩🇪 £3.10 trn.

In 2016 British economy was 94 per cent the size of Germany’s. Now it is less than 70 per cent!

https://t.co/dJrKRrKMd5 https://t.co/MOXau6dFHw"
2022-10-30 16:02:02+00:00,ERoachclip,0,Twitter Web App,"@DCBMEP What ever the effect of other things on the UK you can't deny that Brexit has caused havoc with trade, NI security and staffing in essential services David. Unnecessary self-harm to the UK economy."
2022-10-30 16:00:55+00:00,infotainment_19,0,Twitter for Android,"@TheLegateIN Let's see......  What he will push either UK economy or Kashmir?
After all these problems was created by British."
2022-10-30 15:59:23+00:00,simonharries3,0,Twitter Web App,"- Enables them. Nothing changes, does it? The greatest damage to the UK economy has been caused because we CAN'T TRUST OUR BANKS! My hero accountant is now recovering from surgery to remove a malignant tumour. I send him love and good wishes. I wish @NatWestBusiness to go to hell"
2022-10-30 15:58:51+00:00,HurlstonJohn,0,Twitter for Android,@KEdge23 Come on  Kev no-one believes the Tory Party are the party of fiscal competence any more Kamikaze Kwarteng  and Dizzy Lizzy tanked the UK economy in less  than a week. UK now has an extra  £40 billion pound extra debt which has to be recovered through austerity. Silly  boy.
2022-10-30 15:55:57+00:00,jimtyrrell2,0,Twitter Web App,"According to a survey more people think Sunak is better for the UK economy than Starmer. Well there you have it, turkeys do vote for Christmas!"
2022-10-30 15:53:23+00:00,turinepi,0,Twitter for Android,@ABroadBrush @StrayCurrents Sukak alone can help the UK economy w his own £££
2022-10-30 15:47:34+00:00,FreitagWolf,0,Twitter Web App,"@RidgeOnSunday @SophyRidgeSky Stop lying!
UK economy in 2016 🇬🇧 £2.10 trn or 94% of Germany's £2.2 trn.

Now 2022 UK is £2.17 trn (~same as 2016!) or 70% of 🇩🇪 £3.10 trn.

In 2016 British economy was 94 per cent the size of Germany’s. Now it is less than 70 per cent!
#Brexit cult lies
https://t.co/dJrKRrKMd5"
2022-10-30 15:47:21+00:00,justinbellinger,2,Twitter Web App,"@SkewSmug BoE's own figures say it has (used to be 90% of German economy, now 70%).

Deny all the want, the figures are out and it's not pretty, and it's entirely down to Brexit.

On top of that, the UK economy is also battered by: pandemic, supply chain issues, etc, like everyone else."
2022-10-30 15:46:46+00:00,FreitagWolf,0,Twitter Web App,"@BrugesGroup Stop lying!
UK economy in 2016 🇬🇧 £2.10 trn or 94% of Germany's £2.2 trn.

Now 2022 UK is £2.17 trn (~same as 2016!) or 70% of 🇩🇪 £3.10 trn.

In 2016 British economy was 94 per cent the size of Germany’s. Now it is less than 70 per cent!
#Brexit cult lies
https://t.co/dJrKRrKMd5"
2022-10-30 15:45:31+00:00,FreitagWolf,0,Twitter Web App,"@Claremacd @BrugesGroup Worst: UK economy in Jan 1 2016 🇬🇧 £2.10 trn or 94% of Germany's £2.2 trn. 
Now 2022 UK is £2.17 trn (~same as 2016!) or 70% of 🇩🇪 £3.10 trn.
In 2016 British economy was 94 per cent the size of Germany’s. Now it is less than 70 per cent!
#Brexit cult lies
https://t.co/dJrKRrKMd5"
2022-10-30 15:30:36+00:00,andrew_lilico,50,Twitter for Android,"Nope. When we joined the EEC the UK experienced a series of significant recessions, partly as a consequence of adjusting to joining (&amp; this was widely discussed at the time). It was over ten years before the UK economy really stabilised &amp; then started to experience the upsides. https://t.co/6oOJWAoXts"
2022-10-30 15:24:32+00:00,Glencoe1313,0,Twitter Web App,"@graeme_from_IT if the allegations are correct...big if...

and if this was discovered in July why keep it hidden till now

just when the UK economy's in recovery mode"
2022-10-30 15:16:13+00:00,DNugent2,1,Twitter Web App,@RestIsPolitics @campbellclaret @RoryStewartUK A cheery one - do you consider the UK economy to be in for a century of slow and steady decline or can you see a route to innovation and growth?
2022-10-30 15:12:44+00:00,Davidm13041,1,Twitter for Android,"@TumbleweedChase @crackedceramic @afneil The OBR calculated it to be a 4% drop in GDP.
They also estimated that Covid cost the UK economy a 2% drop.
Most people would call that a very high price."
2022-10-30 15:11:17+00:00,JonMitc12738948,2,Twitter Web App,"@CornwallTory @Conservatives From the party that bought you the tanking of the UK economy and thousands of unnecessary deaths from covid.
Conservatives are a stain on the nation's character.
#GeneralElectionNow"
2022-10-30 15:01:57+00:00,EstonianPotato,0,Twitter Web App,"@trooper_sooper @EvansGeorge @thefacts_UK Oh, wait, what? Does UK economy go into the toilet in such pace?"
2022-10-30 15:01:12+00:00,ChairmanMoet,0,TweetDeck,If you're asking people to predict what's going to happen to the UK economy over the next few years you'd hope it would last a fortnight
2022-10-30 14:59:16+00:00,BrosManney,0,Twitter Web App,"🇳🇬doesn't learn!
@atiku to disburse $10 billion Economic Stimulus Fund if he wins.

Liz Truss promises taxcuts within days
Rishi Sunak asks ""how will you fund it?""

Liz won. Fulfil promises. UK Economy goes crazy.
BoE promises to fill gap with £60bn

Liz resigns
Rishi wins https://t.co/1EMnnFVtEV"
2022-10-30 14:58:35+00:00,nigethugrug,0,Twitter Web App,"@susan_bagheri @michaelwhite Total bollocks
#HongKongers &amp; other #Commonwealth citizens were blocked on altar of GDP reducing eu FoM &amp; UK international trade was damaged by eu customs union &amp; eu anti- services regulation &amp; services makes up 80% UK economy &amp; rest of world uses English language &amp; law unlike eu"
2022-10-30 14:56:16+00:00,spanishpete7,0,Twitter for iPhone,@BrugesGroup Trying to ignore the negative impact of Brexit on the uk economy and our standing on the global stage is just blind ignorance
